141.66666666666669,8.333333333333334,-1062.3992156982422,Cap_rock
308.3333333333333,8.333333333333334,-1358.4846687316895,Cap_rock
541.6666666666667,908.3333333333335,-1069.0508651733398,Cap_rock
791.6666666666667,125.0,-1275.0476455688477,Cap_rock
941.6666666666667,8.333333333333334,-1075.4766464233398,Cap_rock
141.66666666666669,8.333333333333334,-1169.7986221313477,Reservoir
291.6666666666667,508.33333333333337,-1470.2080059051514,Reservoir
541.6666666666667,408.3333333333333,-1173.1879806518555,Reservoir
791.6666666666667,125.0,-1374.9632453918457,Reservoir
941.6666666666667,8.333333333333334,-1173.9833450317383,Reservoir
141.66666666666669,8.333333333333334,-1229.7986221313477,basement
291.6666666666667,508.33333333333337,-1530.2080059051514,basement
541.6666666666667,408.3333333333333,-1233.1879806518555,basement
791.6666666666667,125.0,-1434.9632453918457,basement
941.6666666666667,8.333333333333334,-1233.9833450317383,basement
